2017,PASQUALON Andrea,Team Roth,Wanty - Groupe Gobert,298,368
2017,VAN ASBROECK Tom,Team LottoNL-Jumbo,Cannondale-Drapac Pro Cycling Team,226,213
2017,NAVARDAUSKAS Ramūnas,Cannondale-Drapac Pro Cycling Team,Bahrain Merida Pro Cycling Team,291,49
2017,GENIEZ Alexandre,FDJ,AG2R La Mondiale,335,357
2017,PEDERSEN Mads,Stölting Service Group,Trek - Segafredo,155,398
2017,LOBATO Juan José,Movistar Team,Team LottoNL-Jumbo,421,305
2017,PHINNEY Taylor,BMC Racing Team,Cannondale-Drapac Pro Cycling Team,269,47
2017,BURGHARDT Marcus,BMC Racing Team,BORA - hansgrohe,98,157
2017,GATTO Oscar,Tinkoff,Astana Pro Team,253,210
2017,HENDERSON Gregory,Lotto Soudal,UnitedHealthcare Pro Cycling Team,105,4
2017,KIŠERLOVSKI Robert,Tinkoff,Team Katusha Alpecin,59,86
2017,BONIFAZIO Niccolò,Trek - Segafredo,Bahrain Merida Pro Cycling Team,370,274
2017,ARASHIRO Yukiya,Lampre - Merida,Bahrain Merida Pro Cycling Team,206,170
2017,RUBIANO Miguel Angel,China Continental Team of Gansu Bank,Equipo de ciclismo Coldeportes Zenu,45,13
2017,TEUNISSEN Mike,Team LottoNL-Jumbo,Team Sunweb,91,191
2017,MORENO Javier,Movistar Team,Bahrain Merida Pro Cycling Team,125,64
2017,CARTHY Hugh,Caja Rural - Seguros RGA,Cannondale-Drapac Pro Cycling Team,326,123
2017,CAPECCHI Eros,Astana Pro Team,Quick-Step Floors,96,68
2017,CIMOLAI Davide,Lampre - Merida,FDJ,176,188
2017,CHERNETSKI Sergei,Team Katusha,Astana Pro Team,333,262
2017,BOUET Maxime,Etixx - Quick Step,Fortuneo - Oscaro,155,211
2017,GUARDINI Andrea,Astana Pro Team,UAE Team Emirates,249,49
2017,BRUTT Pavel,Tinkoff,Gazprom-RusVelo,85,58
2017,TROFIMOV Yuri,Tinkoff,Caja Rural - Seguros RGA,47,30
2017,MOLARD Rudy,Cofidis, Solutions Crédits,163,204
2017,GEOGHEGAN HART Tao,Axeon Hagens Berman,Team Sky,193,283
2017,KÖNIG Leopold,Team Sky,BORA - hansgrohe,252,6
2017,CLEMENT Stef,IAM Cycling,Team LottoNL-Jumbo,359,182
2017,BODNAR Maciej,Tinkoff,BORA - hansgrohe,388,260
2017,MEYER Cameron,Team Dimension Data,Mitchelton Scott,75,235
2017,SARAMOTINS Aleksejs,IAM Cycling,BORA - hansgrohe,189,69
2017,BRÄNDLE Matthias,IAM Cycling,Trek - Segafredo,120,263
2017,ATAPUMA Darwin,BMC Racing Team,UAE Team Emirates,665,259
2017,CATTANEO Mattia,Lampre - Merida,Androni - Sidermec - Bottecchia,65,539
